UF,Sexo,Idade,Anos de Estudo,Renda
Rondônia,Masculino,39,12,2500
Rondônia,Masculino,51,5,1800
Rondônia,Masculino,55,11,2500
Rondônia,Masculino,25,12,1700
Rondônia,Masculino,50,12,4500
Rondônia,Masculino,33,10,5000
Rondônia,Masculino,28,6,788
Rondônia,Masculino,43,14,2500
Rondônia,Masculino,43,5,788
Rondônia,Masculino,41,12,3800
Rondônia,Masculino,38,3,1250
Rondônia,Masculino,51,2,7000
Rondônia,Masculino,51,5,788
Rondônia,Masculino,53,13,600
Rondônia,Masculino,70,9,1800
Rondônia,Masculino,35,9,1400
Rondônia,Masculino,24,6,800
Rondônia,Masculino,24,3,788
Rondônia,Masculino,31,5,1300
Rondônia,Masculino,37,5,788
Rondônia,Masculino,29,11,788
Rondônia,Masculino,37,14,9166
Rondônia,Masculino,60,5,800
Rondônia,Masculino,41,9,1800
Rondônia,Masculino,53,5,2000
Rondônia,Masculino,28,16,1200
Rondônia,Masculino,53,4,1500
Rondônia,Masculino,51,7,1500
Rondônia,Masculino,36,12,1500
Rondônia,Masculino,45,9,2000
Rondônia,Masculino,31,12,2930
Rondônia,Masculino,53,12,4000
Rondônia,Masculino,57,7,1024
Rondônia,Masculino,45,5,1180
Rondônia,Masculino,51,5,1500
Rondônia,Masculino,52,6,2000
Rondônia,Masculino,47,5,1200
Rondônia,Masculino,41,4,1200
Rondônia,Masculino,36,10,876
Rondônia,Masculino,65,1,1200
Rondônia,Masculino,44,1,1300
Rondônia,Masculino,55,5,1300
Rondônia,Masculino,30,11,1100
Rondônia,Masculino,52,5,2000
Rondônia,Masculino,45,2,1300
Rondônia,Masculino,28,16,1100
Rondônia,Masculino,52,1,1500
Rondônia,Masculino,57,7,500
Rondônia,Masculino,64,12,3500
Rondônia,Masculino,18,6,850
Rondônia,Masculino,30,12,2300
Rondônia,Masculino,53,2,950
Rondônia,Masculino,66,3,0
Rondônia,Masculino,79,1,0
Rondônia,Masculino,61,4,0
Rondônia,Masculino,30,6,1000
Rondônia,Masculino,59,9,2200
Rondônia,Masculino,57,9,788
Rondônia,Masculino,40,4,2000
Rondônia,Masculino,49,9,2100
Rondônia,Masculino,45,5,2000
Rondônia,Masculino,18,6,1300
Rondônia,Masculino,45,4,1800
Rondônia,Masculino,76,1,700
Rondônia,Masculino,48,5,1800
Rondônia,Masculino,45,11,1100
Rondônia,Masculino,36,3,960
Rondônia,Masculino,52,9,1200
Rondônia,Masculino,57,7,4000
Rondônia,Masculino,35,9,788
Rondônia,Masculino,39,6,500
Rondônia,Masculino,64,1,1200
Rondônia,Masculino,17,8,1500
Rondônia,Masculino,24,10,150
Rondônia,Masculino,38,8,1500
Rondônia,Masculino,79,2,788
Rondônia,Masculino,27,7,850
Rondônia,Masculino,53,16,5000
Rondônia,Masculino,37,1,500
Rondônia,Masculino,49,1,788
Rondônia,Masculino,32,16,2000
Rondônia,Masculino,38,16,7000
Rondônia,Masculino,45,16,2300
Rondônia,Masculino,41,12,2100
Rondônia,Masculino,29,14,1600
Rondônia,Masculino,27,12,1500
Rondônia,Masculino,26,10,2000
Rondônia,Masculino,30,12,788
Rondônia,Masculino,32,12,788
Rondônia,Masculino,55,12,3500
Rondônia,Masculino,49,16,7000
Rondônia,Masculino,51,16,22000
Rondônia,Masculino,38,12,3500
Rondônia,Masculino,61,9,3000
Rondônia,Masculino,36,16,2000
Rondônia,Masculino,60,9,1200
Rondônia,Masculino,50,12,1000
Rondônia,Masculino,19,12,1038
Rondônia,Masculino,46,12,2000
Rondônia,Masculino,28,9,4000
Rondônia,Masculino,53,9,800
Rondônia,Masculino,44,12,2000
Rondônia,Masculino,33,10,2200
Rondônia,Masculino,41,12,3500
Rondônia,Masculino,39,10,2500
Rondônia,Masculino,61,5,1000
Rondônia,Masculino,62,7,2000
Rondônia,Masculino,55,12,2300
Rondônia,Masculino,20,12,1200
Rondônia,Masculino,56,9,400
Rondônia,Masculino,63,5,2000
Rondônia,Masculino,55,16,1700
Rondônia,Masculino,27,12,954
Rondônia,Masculino,48,12,5000
Rondônia,Masculino,27,1,1500
Rondônia,Masculino,46,6,1700
Rondônia,Masculino,35,16,6700
Rondônia,Masculino,32,16,2300
Rondônia,Masculino,24,12,3800
Rondônia,Masculino,41,10,788
